province_name,district_name,metric_key,metric_value,unit,data_year,source_org,source_name,source_url,verified_at
Eskişehir,,student_count,154330,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bilecik,,school_count,205,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bilecik,,student_count,40090,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kocaeli,,school_count,1554,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kocaeli,,student_count,461090,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sakarya,,school_count,1011,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sakarya,,student_count,213873,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Düzce,,school_count,414,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Düzce,,student_count,77441,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bolu,,school_count,243,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bolu,,student_count,54262,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
